eq_type,#,latex,y,x_b,x_c,x_d,equation
G,1,V=a+bD^{2}H,V,(D^2)*H,,,V=a+b*(D^2)*H
G,2,V=a+bD+cD^{2}H                          ,V,D,(D^2)*H,,V=a+b*D+c*(D^2)*H
G,3,V=a+bD^{2}+c\left(D^{2}H\right)^{2}     ,V,D^2,((D^2)*H)^2,,V=a+b*D^2+c*((D^2)*H)^2
G,4,V=a+bD+cD^{2}H+d\left(D^{2}H\right)^{2} ,V,D,(D^2)*H,((D^2)*H)^2,V=a+b*D+c*(D^2)*H+d*((D^2)*H)^2
G,5,V=a+bD+cH+dD^{2}H                       ,V,D,H,(D^2)*H,V=a+b*D+c*H+d*(D^2)*H
G,6,V=a+bD+cD^{2}+dD^{2}H                   ,V,D,D^2,(D^2)*H,V=a+b*D+c*D^2+d*(D^2)*H
G,7,\log_{e}V=a+b\log_{e}D+c\log_{e}H       ,log(V),log(D),log(H),,log(V)=a+b*log(D)+c*log(H)
G,8,\frac{V}{D^2H}=a+bD^2H                  ,V/((D^2)*H),(D^2)*H,,,V/((D^2)*H)=a+b*(D^2)*H
G,9,\frac{V}{D^2H}=a+bD^2H+c\frac{V}{D^2H}  ,V/((D^2)*H),(D^2)*H,V/((D^2)*H),,V/((D^2)*H)=a+b*(D^2)*H+c*V/((D^2)*H)
L,1,V=a+b*(D^2),V,D^2,,,V=a+b*D^2
L,2,V=a+bD+cD^{2},V,D,D^2,,V=a+b*D+c*D^2
L,3,V=a+bD+cD^{2}+dD^{3}              ,V,D,D^2,D^3,V=a+b*D+c*D^2+d*D^3
L,4,V=a+b\sqrt{D}+cD^{2},V,sqrt(D),D^2,,V=a+b*sqrt(D)+c*D^2
L,5,\sqrt{V}=a+bD,sqrt(V),D,,,sqrt(V)=a+b*D
L,6,\sqrt{V}=a+bD+c\sqrt{D},sqrt(V),D,sqrt(D),,sqrt(V)=a+b*D+c*sqrt(D)
L,7, \frac{V}{D^2}=a+\frac{b}{D^2},V/(D^2),1/(D^2),,,V/(D^2)=a+b*1/(D^2)
L,8,\frac{V}{D^2}=a+\frac{b}{D}+\frac{c}{D^2},V/(D^2),1/D,1/(D^2),,V/(D^2)=a+b/D+c*1/(D^2)
L,9,\frac{V}{D^2}=a+\frac{b}{D^2}+\frac{c}{D}+dD,V/(D^2),1/(D^2),1/D,D,V/(D^2)=a+b/(D^2)+c*1/D+d*D
L,10,\log_{e}V=a+b\log_{e}D,log(V),log(D),,,log(V)=a+b*log(D)
