sp,page_no_book,eq_no_book,,eq_type,eq_ty_n,level,state,region,eq_typ,eq,eq_transformed,equation,"V = f(D=1,H=10))",a,b,c,d,n,r_squared,remarks,eq_extra,dia_>,dia_<
Abies densa,6,1,1-001,G,,,,,G,,,,,,,,,,,,,,
Abies densa,6,1,1-001,L,,,,,L,,,,,,,,,,,,,,
Abies densa,6,2,1-002,,,,,,,,,,,,,,,,,,,,
Abies densa,6,3,1-003,,,,,,,,,,,,,,,,,,,,
Abies densa,6,4,1-004,,,,,,,,,,,,,,,,,,,,
Abies pindrow,7,5,1-005,,,,,,,,,,,,,,,,,,,,
Abies pindrow,7,6,1-006,,,,,,,,,,,,,,,,,,,,
Abies pindrow,8,7,1-007,,,,,,,,,,,,,,,,,,,,
Abies pindrow,8,8,1-008,,,,,,,,,,,,,,,,,,,,
Abies pindrow,8,9,1-009,,,,,,,,,,,,,,,,,,,,
Abies pindrow,8,10,1-010,,,,,,,,,,,,,,,,,,,,
Abies pindrow,9,11,1-011,,,,,,,,,,,,,,,,,,,,
Abies pindrow,9,12,1-012,,,,,,,,,,,,,,,,,,,,
Abies pindrow,9,13,1-013,,,,,,,,,,,,,,,,,,,,
Abies pindrow,9,14,1-014,,,,,,,,,,,,,,,,,,,,
Abies smithiana,10,15,1-015,,,,,,,,,,,,,,,,,,,,
Abies smithiana,10,16,1-016,,,,,,,,,,,,,,,,,,,,
Abies smithiana,10,17,1-017,,,,,,,,,,,,,,,,,,,,
Acacia catechu,11,18,1-018,,,,,,,,,,,,,,,,,,,,
Acacia catechu,12,19,1-019,,,,,,,,,,,,,,,,,,,,
Acacia catechu,12,20,1-020,,,,,,,,,,,,,,,,,,,,
Acacia catechu,12,21,1-021,,,,,,,,,,,,,,,,,,,,
Acacia catechu,12,22,1-022,,,,,,,,,,,,,,,,,,,,
Acacia catechu,13,23,1-023,,,,,,,,,,,,,,,,,,,,
Acacia catechu,13,24,1-024,,,,,,,,,,,,,,,,,,,,
Acacia catechu,13,25,1-025,,,,,,,,,,,,,,,,,,,,
Acacia species,13,26,1-026,L,6,multi_district,Rajasthan,Southern and Eastern parts,L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(-0.00142+2.61911*D-0.54703*sqrt(D))^2 ,4.288,-0.00142,2.61911,-0.54703,,151,0.95768,,,,
Acer campbellii,14,27,1-027,,,,,,,,,,,,,,,,,,,,
Acer campbellii,14,28,1-028,,,,,,,,,,,,,,,,,,,,
Acer campbellii,14,29,1-029,,,,,,,,,,,,,,,,,,,,
Acer species,15,30,1-030,,,,,,,,,,,,,,,,,,,,
Acer species,15,31,1-031,,,,,,,,,,,,,,,,,,,,
Acer species,15,32,1-032,,,,,,,,,,,,,,,,,,,,
Acer species,16,33,1-033,,,,,,,,,,,,,,,,,,,,
Acer species,16,34,1-034,,,,,,,,,,,,,,,,,,,,
Acer species,16,35,1-035,,,,,,,,,,,,,,,,,,,,
